public_transport_nearby,has_lifts,allows_pets,cctv,floor,antiquity_min_years,antiquity_max_years,rooms,bathrooms,garages,area,stratum,lat,lng,rent_price,admon_price,total_price
1,0,1,1,2,10,20,2,2,1,72,4,4.734657,-74.03892,650000,350000,1000000
1,1,0,1,7,20,,3,5,3,235,6,4.670697,-74.05299,11000000,0,11000000
1,0,0,0,4,0,5,3,2,1,110,4,6.277944,-75.58404,1350000,0,1350000
1,1,0,0,4,10,20,1,2,1,40,5,4.7045016,-74.030975,1170000,215000,1385000
1,1,0,1,13,20,,3,2,1,90,5,4.665561,-74.05754,1922000,348000,2270000
1,1,0,1,17,0,5,2,3,1,94,4,4.6154556,-74.07126,2401300,548700,2950000
0,1,0,0,,0,5,3,2,1,75,4,6.26963,-75.59175,1900000,0,1900000
0,1,0,0,,10,20,3,4,3,0,6,4.733723,-74.07354,3311000,689000,4000000
0,0,0,0,,10,20,3,2,2,109,6,6.19007,-75.57838,2600000,0,2600000
0,0,0,0,,20,,2,2,1,83,6,4.692846,-74.05586,1381000,419000,1800000
0,1,0,1,11,5,10,3,3,1,120,5,4.7140937,-74.03224,2396000,504000,2900000
1,1,0,1,0,20,,4,5,4,270,6,6.217005,-75.56297,4700000,0,4700000
1,0,1,0,1,10,20,2,1,0,52,4,4.6709123,-74.11102,1200000,0,1200000
1,0,1,0,1,10,20,1,1,0,28,2,6.2007937,-75.59012,500000,0,500000
1,0,0,1,7,20,,4,5,3,330,6,4.6725044,-74.051186,12700000,1300000,14000000
0,1,0,0,,0,5,2,3,2,95,6,6.21236,-75.56878,3800000,0,3800000
1,0,0,0,3,10,20,3,4,2,159,4,4.7340894,-74.033806,2850000,0,2850000
0,0,0,0,0,10,20,3,1,0,52,3,4.749387,-74.10151,700000,100000,800000
0,1,0,1,1,0,5,3,3,0,101,5,6.2400393,-75.59771,3000000,0,3000000
1,1,0,1,8,5,10,1,2,1,54,4,4.7263036,-74.04552,1000000,300000,1300000
1,1,0,1,2,10,20,3,2,1,100,4,4.643263,-74.08352,2500000,0,2500000
1,1,0,0,4,10,20,2,3,1,96,5,4.6667705,-74.05928,1060000,470000,1530000
0,1,0,0,,10,20,2,2,1,80,4,4.72431,-74.04329,1750000,0,1750000
1,0,0,0,4,10,20,3,2,1,66.8,3,4.748163,-74.08358,890000,230000,1120000
0,0,0,0,,10,20,3,3,2,160,5,4.6933455,-74.066284,2520000,140000,2660000
0,1,0,0,5,20,,1,1,1,57,6,4.6799803,-74.03922,2100000,300000,2400000
0,0,0,0,0,5,10,2,3,1,130,6,4.679122,-74.04089,2400000,0,2400000
0,1,0,0,4,5,10,1,1,1,33,5,4.694736,-74.06756,917000,183000,1100000
1,0,0,0,1,10,20,3,2,0,64,3,4.728555,-74.11579,1250000,0,1250000
0,1,0,1,1,0,5,1,0,0,28,5,6.2456813,-75.591354,100001,999999,1100000
0,1,0,1,8,10,20,2,2,2,110,5,4.6633506,-74.05257,5800000,700000,6500000
1,1,0,0,8,5,10,3,3,2,112,6,4.6823854,-74.05335,4500000,0,4500000
1,1,0,1,0,10,20,3,3,1,96,5,6.2400837,-75.58365,2900000,0,2900000
0,0,0,0,,5,10,3,2,0,68,4,6.22293,-75.60262,1400000,0,1400000
1,0,0,1,,10,20,4,4,2,0,4,4.6674848,-74.05176,11300000,0,11300000
1,1,0,0,8,0,5,1,1,0,35,4,6.2476377,-75.56582,1100000,0,1100000
0,0,0,0,22,10,20,3,3,1,98,4,4.618769,-74.06806,2050000,400000,2450000
0,1,0,1,1,0,5,3,2,1,80,4,6.249636,-75.60474,500001,999999,1500000
0,0,0,0,0,0,5,2,1,0,40,3,4.578444,-74.10735,650000,0,650000
0,1,0,0,,0,5,2,3,2,109,6,6.21236,-75.56878,4000000,0,4000000
